Time,Speed,Pressure,Temperature,Altitude
2025-12-17 12:00,56.7,101.2,23.5,1200
2025-12-17 12:01,52.3,100.8,24.1,1180
2025-12-17 12:02,58.9,101.5,22.8,1195
2025-12-17 12:03,54.1,101.0,23.9,1210
2025-12-17 12:04,53.5,100.9,24.0,1205
2025-12-17 12:05,55.2,101.3,23.6,1198
2025-12-17 12:06,57.0,101.1,22.9,1185
2025-12-17 12:07,56.3,100.7,23.7,1202
2025-12-17 12:08,52.7,101.4,24.2,1215
2025-12-17 12:09,54.9,101.0,23.3,1190
2025-12-17 12:10,55.8,100.8,23.8,1208
2025-12-17 12:11,53.2,101.2,24.1,1188
2025-12-17 12:12,56.1,101.3,23.5,1195
2025-12-17 12:13,57.4,100.9,22.7,1200
2025-12-17 12:14,54.7,101.1,23.9,1210
2025-12-17 12:15,52.9,101.5,24.0,1192
2025-12-17 12:16,55.6,101.0,23.4,1189
2025-12-17 12:17,56.5,100.7,23.6,1203
2025-12-17 12:18,57.1,101.4,22.8,1197
2025-12-17 12:19,54.0,101.2,23.7,1205
2025-12-17 12:20,52.5,100.8,24.3,1212
2025-12-17 12:21,55.3,101.3,23.2,1191
2025-12-17 12:22,56.7,101.0,23.9,1200
2025-12-17 12:23,54.8,101.1,23.5,1187
2025-12-17 12:24,57.2,100.9,22.9,1199
2025-12-17 12:25,53.9,101.4,23.8,1204
2025-12-17 12:26,55.1,101.2,24.0,1211
2025-12-17 12:27,56.2,100.8,23.3,1193
2025-12-17 12:28,54.5,101.3,23.6,1206
2025-12-17 12:29,57.0,101.0,22.7,1196
2025-12-17 12:30,52.8,101.1,23.9,1207
2025-12-17 12:31,53.7,100.9,24.1,1198
2025-12-17 12:32,55.4,101.2,23.4,1201
2025-12-17 12:33,56.6,101.0,23.7,1194
2025-12-17 12:34,57.3,101.3,22.8,1202
2025-12-17 12:35,54.2,100.7,23.5,1210
2025-12-17 12:36,55.9,101.4,23.9,1195
2025-12-17 12:37,53.3,101.1,24.0,1208
2025-12-17 12:38,56.4,101.0,23.6,1199
2025-12-17 12:39,57.1,100.8,22.9,1203
