SPEED,PRESSURE,TEMPERATURE,ALTITUDE
56.7,101.2,23.5,1200.0
52.3,100.8,24.1,1180.0
58.9,101.5,22.8,1195.0
54.1,101.0,23.9,1210.0
53.5,100.9,24.0,1205.0
55.2,101.3,23.6,1198.0
57.0,101.1,22.9,1185.0
56.3,100.7,23.7,1202.0
52.7,101.4,24.2,1215.0
54.9,101.0,23.3,1190.0
55.8,100.8,23.8,1208.0
53.2,101.2,24.1,1188.0
56.1,101.3,23.5,1195.0
57.4,100.9,22.7,1200.0
54.7,101.1,23.9,1210.0
52.9,101.5,24.0,1192.0
55.6,101.0,23.4,1189.0
56.5,100.7,23.6,1203.0
57.1,101.4,22.8,1197.0
54.0,101.2,23.7,1205.0
52.5,100.8,24.3,1212.0
55.3,101.3,23.2,1191.0
56.7,101.0,23.9,1200.0
54.8,101.1,23.5,1187.0
57.2,100.9,22.9,1199.0
53.9,101.4,23.8,1204.0
55.1,101.2,24.0,1211.0
56.2,100.8,23.3,1193.0
54.5,101.3,23.6,1206.0
57.0,101.0,22.7,1196.0
52.8,101.1,23.9,1207.0
53.7,100.9,24.1,1198.0
55.4,101.2,23.4,1201.0
56.6,101.0,23.7,1194.0
57.3,101.3,22.8,1202.0
54.2,100.7,23.5,1210.0
55.9,101.4,23.9,1195.0
53.3,101.1,24.0,1208.0
56.4,101.0,23.6,1199.0
57.1,100.8,22.9,1203.0
